Job Title,Salary Estimation,Job Description,Rating,Company,Location,Size,Founded Date,Type of Ownership,Industry,Sector,Revenue,Website
"Machine Learning Scientist, Applied Computer Vision",,"Recursion is a clinical-stage biotechnology company decoding biology by integrating technological innovations across biology, chemistry, automation, data science and engineering to radically improve the lives of patients and industrialize drug discovery. Our team is working to solve some of the hardest, most meaningful problems facing human health today. Come join us in our mission to decode biology to radically improve lives, while doing the most impactful work of your life. The Impact You'll Make Recursion has built a unique dataset (over 1 million unique biological perturbations profiled in a high-dimensional biological assay, making up nearly 9 PB of highly-relatable data) and a unique approach to phenotypic drug discovery using our inference-based Recursion Map to predict tens of billions of relationships between disease models and therapeutic candidates. The Machine Learning Scientist, Applied Computer Vision position offers a unique opportunity to use these data and cutting edge machine learning techniques to create meaningful representations of biology that will be used to find therapeutics that positively impact patients lives.",,Recursion,Toronto,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,http://www.recursionco.com/
"Software Developer, Machine Learning and Computer Vision",$60K - $101K (Glassdoor Est.),"You have a passion for solving complex problems, and are pumped at the idea of working on products used by millions of people. You are constantly learning, and are keen to explore the full potential of cutting-edge technology in order to optimize its impact. You enjoy being challenged, and challenging others on your team, as you collectively raise the bar. And us? We are well funded and growing exponentially. In 2021, we won Deloitte's Fast 50 in Canada and Fast 500 in North America awards, recognizing us as one of the fastest-growing companies on the continent - and we're just getting started. We are building the world's most advanced tools for e-commerce and interior decor. Our customers include Fortune 500 companies such as Home Depot, local retailers such as Alexanian's, and leading brands such as Crate&Barrel. We are looking for zealous and collaborative challenge-seekers to amplify our momentum and help us create an iconic global tech company. What You'll Do",4.6,Leap Tools,Toronto,1 to 50 Employees,2009,Company - Private,-1,-1,Unknown / Non-Applicable,http://www.leaptools.com/
Senior Data Scientist (12 month Independent Contractor Agreement),,"Company Description  Maple Leaf Sports & Entertainment (MLSE) one of the world's premier sports and entertainment companies, owns the Toronto Maple Leafs (NHL), Toronto Raptors (NBA), Toronto FC (MLS), Toronto Argonauts (CFL), Toronto Marlies (AHL), Raptors 905 (NBA D-League), TFC II (USL) and Raptors Uprising Gaming Club, the Toronto Raptors Esports franchise in the NBA 2K League. Its charitable arm, MLSE Foundation, focuses on funding initiatives to support youth through sport and recreational programs. In 2017 MLSE Foundation, with support of community and corporate partners, built MLSE LaunchPad, a 42,000-sq. ft. space dedicated to programming that support its four Pillars: Healthy Body, Healthy Mind, Ready For School and Ready For Work. MLSE’s common purpose is to unite and empower employees to deliver extraordinary moments to our fans and each other.",3.8,MLSE,Toronto,501 to 1000 Employees,-1,Company - Private,Sport & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),http://www.mlse.com/
"Student, BI Specialist (Summer 2022, 8 Months)",,"Why join us?  Are you looking to join a dynamic pension plan that embodies the strong values of its 500,000 members and is an industry leading global investor? If so, we would love to tell you our story.  At OMERS we put our people first and are proud to embrace the diversity of thought and leadership that comes from having locations in Toronto, London, New York, Singapore, Sydney and other major cities across North America and Europe. Our culture is truly one of a kind. We get stuff done, and have fun doing it! We take great pride in contributing to the communities where we live with an ever-constant eye to the global investment markets.  As a member of this team, you will be responsible for: Participating in the workshops with stakeholders to gather requirements and develop low/high fidelity wireframes •   Application Instructions To ensure your application is submitted to our applicant tracking system accurately, please follow the instructions below.  Please include all required documents (Resume, Cover Letter, Unofficial Transcript, etc.) in one combined file . Your application may be submitted in PDF of Microsoft Word format.   Founded in 1962, OMERS is one of Canada’s largest defined benefit pension plans, with $105 billion in net assets as at December 31, 2020. OMERS is a jointly-sponsored pension plan, with 1,000 participating employers ranging from large cities to local agencies, and over half a million active, deferred and retired members. OMERS members include union and non-union employees of municipalities, school boards, local boards, transit systems, electrical utilities, emergency services and children’s aid societies across Ontario. Contributions to the Plan are funded equally by members and employers. OMERS teams work in Toronto, London, New York, Amsterdam, Luxembourg, Singapore, Sydney and other major cities across North America and Europe – serving members and employers and originating and managing a diversified portfolio of high-quality investments in public markets, private equity, infrastructure and real estate.  OMERS is committed to having a workforce that reflects the communities in which we live and work. We are an equal opportunity employer committed to a barrier-free recruitment and selection process. At OMERS inclusion and diversity means belonging. How we create a sense of belonging is through our employees and our vast network of Employee Resource Groups. Whether you are passionate about gender, pride, or visible minorities, we have groups that are focused on making a difference in all of our lives.  Vaccination Policy  At OMERS and Oxford the office or worksite is our primary place of work. We are committed to providing work environments which promote the health, safety and well-being of all employees in accordance with public health regulation and guidance. Accordingly, employees are required to provide evidence of full vaccination or have an approved exemption.",3.6,OMERS,Toronto,1001 to 5000 Employees,1962,Company - Private,Venture Capital & Private Equity,Finance,Unknown / Non-Applicable,http://www.omers.com/
"Data Science Intern - Summer 2022 (Remote, US&Canada)",,"Shopify is a leading global commerce company, providing trusted tools to start, grow, market, and manage a retail business of any size. Shopify makes commerce better for everyone with a platform and services that are engineered for reliability, while delivering a better shopping experience for consumers everywhere. Shopify powers millions of businesses in more than 175 countries and is trusted by brands such as Allbirds, Gymshark, PepsiCo, Staples, and many more. Shopify is now permanently remote, and we’re working towards a future that is digital by design. That location you see above? Consider it merely an example of hundreds of potential locations across Canada and the United States where Shopify is hiring. Learn more here: https://www.shopify.com/careers/work-anywhere  If you are applying from outside the Shopify careers page, please apply through our careers page (https://internships.shopify.com/) to ensure you are completing all application components.",4.3,Shopify,Toronto,5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),http://www.shopify.com/
Applied Machine Learning Specialist,$53K - $91K (Glassdoor Est.),"POSITION OVERVIEW  As a Vector Applied Machine Learning Specialist, you will contribute to developing reusable software to apply and scale research breakthroughs in machine learning and AI. You will collaborate with some of the best and brightest AI developers and machine learning researchers and will work with leading industry sponsors and healthcare institutions to apply AI.  KEY RESPONSIBILITIES",4.9,Vector Institute,Toronto,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,http://www.vectorinstitute.ai/
Senior Data Analyst,,"Senior Data Analyst Job ID : 5157 Category : Claims Brand : Economical Regular/Temporary : Regular Fulltime/Parttime : Full Time Location : Mississauga, Canada  LOVE WHAT YOU DO",3.9,Economical Insurance,Mississauga,1001 to 5000 Employees,1871,Company - Public,Insurance Operator,Insurance,$1 to $2 billion (USD),http://www.definityfinancial.com/
Machine Learning Developer,$78K - $98K (Glassdoor Est.),"Machine Learning Developer toronto Toronto, Ontario, Canada Do you want to experience the essence of a large organization in a company with a personal touch? Come and work with us! We are looking for creative, innovative, and collaborative people like you to join our team. At the heart of Alithya’s values is the well-being of our employees and their families. That's why, we continue to follow the Public Health Agency of Canada’s recommendations closely. We remain close to you, while keeping our distance via Phone, Microsoft Teams, Zoom or however you like.",3.7,Alithya,Toronto,1001 to 5000 Employees,1992,Company - Public,IT Service,Information Technology,Unknown / Non-Applicable,http://www.alithya.com/
"VP, Data Science and Management",$51K - $59K (Glassdoor Est.),"Lead and develop the Moneris Data Science, Data Management and Data Monetization strategies to enable enterprise utilization of data assets internally and externally. The delivery and execution of this strategy will empower decision makers across Moneris and aggregate traditional silos of information. Accountabilities centre around; the shared Datalake; supporting Datamarts for consistent analytics; architecture and tooling for analytics; reporting and advanced data science, and data integration capabilities to enable consistent information across payments, business, and partner applications.  You will be accountable to: Deliver on Moneris Data Science and Data Management strategies, working with senior leaders to incorporate Data and analytics into business requirements and strategic direction including transformative and disruptive data and analytics including future delivery opportunities such as quantum computing, AI lead analytics tools, and other leading opportunities to build-out priority analytics verticals to provide insights around customer behavior",3.8,Moneris Solutions,Toronto,1001 to 5000 Employees,2000,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable,http://www.moneris.com/
"Sr. Consultant, Infrastructure Data Analytics",$78K - $89K (Glassdoor Est.),"We’re building a relationship-oriented bank for the modern world. We need talented, passionate professionals who are dedicated to doing what’s right for our clients. At CIBC, we embrace your strengths and your ambitions, so you are empowered at work. Our team members have what they need to make a meaningful impact and are truly valued for who they are and what they contribute. To learn more about CIBC, please visit CIBC.com Job Description SR CONSULTANT, INFRASTRUCTURE DATA ANALYTICS - Outsourced Technology and Cloud Services We’re on a mission to build the relationship-focused bank of the future and we’re looking for the passionate collaborators, innovators, advisors, and leaders who can get us there. Our distinct culture is built on a shared commitment to do what’s right for our clients, our people, and our communities, and we strive for excellence in everything we do. Because life at CIBC is not only you do, but Toronto-483 Bay St, 5th floor Regular 37.5",3.9,CIBC,Toronto,10000+ Employees,1867,Company - Public,Banks & Building Society,Finance,$10+ billion (USD),http://www.cibc.com/
Applied Machine Learning Specialist (ML Operations),,"POSITION OVERVIEW  As an Applied ML Specialist with Machine Learning Operations (MLOps) expertise, you will contribute to developing reusable machine learning (ML) systems and software to apply and scale research breakthroughs in ML and artificial intelligence (AI). You will collaborate with some of the best and brightest ML engineers and scientists at Vector and leading industry and healthcare organizations. You will collaborate with some of the best and brightest ML researchers.  KEY RESPONSIBILITIES",4.9,Vector Institute,Toronto,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,http://www.vectorinstitute.ai/
Artificial Intelligence (AI) / Machine Learning (ML) Research Intern (8-mon,,"Artificial Intelligence (AI) / Machine Learning (ML) Research Intern (8-month position) Artificial Intelligence (AI) - Machine Learning (ML) Research Intern (8-month position) About Us Messagepoint is a leader in developing and delivering innovative software and services within the Customer Communications Management (CCM) market. Messagepoint helps companies strengthen their customer communications by enabling business users to control the entire messaging lifecycle for all print or digital communications without burdening IT. Summary The MARCIE team at Messagepoint offers a unique opportunity to innovate in the Enterprise Customer Communication Management (CCM) space using an artificial intelligent (AI) enabled data driven approach for content management. We apply cutting edge natural language processing (NLP) and machine learning (ML) techniques towards creating a holistic scalable enterprise application development platform, supporting advanced use cases focused on document ingestion, parsing, content disambiguation & creation, and semantic analysis of multi-model multi-lingual customer communication content. We are currently seeking an intern who has an understanding of AI concepts (e.g. classification, clustering, topic modelling, language modelling, part-of-speech tagging, semantic analysis) for text based content analysis and enrichments. The intern will be responsible for creating a project plan in conjunction with Messagepoint Executives, detailing the high-level research activities and their outcomes with planned milestones measurable each month.  All work based on the project will be Messagepoint’s intellectual property.  The initial datasets will be provided by Messagepoint Inc. to be used for research activities only. Any further processing of the data (e.g. labelling) will be done by the research group in compliance with the Messagepoint data usage policies. Access to compute clusters will also be provided in the Amazon environment.",,Messagepoint,Toronto,-1,-1,-1,-1,-1,-1,-1
"Staff (Lead) Data Scientist (Remote, Canada)",,"Job Description  Data is a crucial part of Shopify’s mission to make commerce better for everyone. We organize and interpret petabytes of data to provide solutions for our merchants and stakeholders across the organization. From pipelines and schema design to machine learning products and decision support, data science at Shopify is a diverse role with many opportunities to positively impact our success. Our Staff (i.e Lead) Data Scientists focus on pushing products and the business forward, with a focus on solving important problems rather than specific tools. We are looking for talented data scientists to help us better understand our merchants and buyers so we can help them on their journey.  Qualifications  Additional Information",4.3,Shopify,Toronto,5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),http://www.shopify.com/
Data Analytics Engineer (Remote),$98K - $116K (Glassdoor Est.),"As an Analytics Data Engineer in the Data Services BI Team, you will play a key role in driving successful product launches, growth and customer satisfaction. Your role is a cross-functional one, requiring you to wear many hats, including data engineer, business analyst and product manager. Your efforts will be integral to all phases of product development as we look to standardize product efforts, increase activity and generate more output. You will be results-oriented and therefore obsessed with the customer, always looking to deliver business value. You will be hands-on, willing and able to master many technical capabilities. The Data Analytics Engineer will have the opportunity to help define and implement many company-wide initiatives. Job Description About Our Team: KAR Data Services is expanding our Data Engineering team to deliver advanced insights and embedded analytics in support of internal teams across the organization as well as our customers.",3.5,KAR Global,Toronto,10000+ Employees,2006,Company - Public,Wholesale,Business Service,$500 million to $1 billion (USD),http://www.karglobal.com/
"Expert, Data Scientist",$88K - $116K (Glassdoor Est.),"At CN, we work together to move our company—and North America—forward. Be part of our Information & Technology (I&T) team, a critical piece of the engine that keeps us in motion. From enterprise architecture to operational technology, our teams use the agile methodology to automate and digitize our railroad ensuring our operations run optimally and safely and our employees can focus on value-added tasks. You will be able to develop your skills and career in our close-knit, safety-focused culture working together as ONE TEAM. The careers we offer are meaningful because the work we do matters. Join us! Job Summary The Expert Data Scientist is responsible for conducting detailed analyses of data sets and providing advanced analytics solutions to solve business problems, while leveraging statistical, machine learning, and optimization techniques. The incumbent is part of the team contributing to transformation to move forward with Artificial Intelligence (AI) to enable automation and support better and faster data-driven decision making in virtually every aspect of its business. This transformation will have a significant impact in enabling the organization to differentiate itself from competitors and ensure sustained profitability.",3.2,Canadian National Railway,Toronto,10000+ Employees,1919,Company - Public,Rail,Transportation & Logistics,$5 to $10 billion (USD),http://www.cn.ca/careers
AML Reporting & Automation Solutions Senior Specialist/Data Scientist,$144K - $145K (Glassdoor Est.),"Address: 100 King Street West Job Family Group: Data Analytics & Reporting Mandate and Core Accountabilities Consults on analytical solutions to understand, analyze, and synthesize requirements, goals and objectives relative to data and business intelligence needs and to enable high-quality, fact-based business decisions to drive better business outcomes. Provides advice on the configuration, functionality, applicability, and usability of data management, data analytics, and data visualization technology solutions. Supports the development of the strategy and roadmap for data quality and data analytics, data modeling, reporting, business intelligence, and the design and development of sophisticated decision support tools.",3.8,BMO Financial Group,Toronto,10000+ Employees,1817,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),http://jobs.bmo.com/ca/en
Data Scientist - Machine Learning Engineer Sports Betting,$85K - $140K (Employer Est.),"About Staffinity Inc. We are your trusted bilingual recruiting, short and long-term staffing service provider. Our primary goal has been matching sought-after employers with talented candidates. We are your source to get you in front of desirable employers who are now hiring in your area. Please visit us at https://staffinity.ca Why Work With Us? We are awesome: We push the boundaries of new technology and are always trying to stay ahead of the curve We have a great team dynamic with a more client centered approach We offer competitive salaries and great bonuses and perks! Staffinity is looking for an Data Scientist/Machine Learning Engineer for a permanent, full time position in Toronto ON. The work will be done primarily with R.",,Staffinity Inc.,Toronto,1 to 50 Employees,-1,Contract,-1,-1,Less than $1 million (USD),http://www.staffinity.ca/
Data Scientist (NLP visualization expert),$36K - $60K (Employer Est.),Data Scientist (NLP visualization expert) - 2 months contract with the opportunity to extend based on job performance WHO YOU ARE · You are within three years of graduation from an undergraduate or Masters program from an Ontario college or university · Must reside in Ontario · You know fundamentals of Machine Leaning models and their application in Internet industry · You have strong familiarity with different NLP algorithms in Python · Strong knowledge of visualization techniques and creating dashboards specifically with Dash Plotly,,PubliVate Inc.,Toronto,-1,-1,-1,-1,-1,-1,-1
Machine Learning Software Developer Summer Co-op,$105K - $110K (Glassdoor Est.),"Les candidats référés ne doivent pas postuler directement pour ce poste. Toutes les références de candidats doivent d’abord être soumises dans Workday par un collègue de Loblaw actuel. Emplacement: 1 Presidents Choice Circle, Brampton, Ontario, L6Y 5S5 La décision de rejoindre une entreprise est une décision importante. Nous avons des opportunités pour des personnes travaillantes, énergiques et fiables comme vous.  Temps plein Poste contractuel (Durée déterminée) Co-op",3.6,Loblaw Companies Limited,Brampton,10000+ Employees,-1,Company - Public,Vehicle Dealers,Retail,$10+ billion (USD),http://www.loblaw.com/
Principal Data Scientist,,"Principal Data Scientist  Must Have:  10+ years of experience with general purpose programming languages e.g., Python, C/C++, Java 10+ years of hands-on experience in machine learning 4+ years of experience leading multiple machine learning projects simultaneously Nice to Have:  Exposure to MLOps technologies such as Kubeflow Experience with production architecture of machine learning systems Our client is…  Responsibilities:",4.5,ISG Search Inc,Toronto,1 to 50 Employees,1990,Company - Private,IT Service,Information Technology,Unknown / Non-Applicable,http://www.isgsearch.ca/
"Co-op, Data Science Analyst, People Analytics",$29K - $84K (Glassdoor Est.),"Les candidats référés ne doivent pas postuler directement pour ce poste. Toutes les références de candidats doivent d’abord être soumises dans Workday par un collègue de Loblaw actuel. Emplacement: 1 Presidents Choice Circle, Brampton, Ontario, L6Y 5S5 La décision de rejoindre une entreprise est une décision importante. Nous avons des opportunités pour des personnes travaillantes, énergiques et fiables comme vous. Temps plein Poste contractuel (Durée déterminée) Interne",3.6,Loblaw Companies Limited,Brampton,10000+ Employees,-1,Company - Public,Vehicle Dealers,Retail,$10+ billion (USD),http://www.loblaw.com/
Applied Machine Learning Team: Supply Chain Co-op,$105K - $110K (Glassdoor Est.),"Referred applicants should not apply directly to this role. All referred applicants must first be submitted through Workday by a current Loblaw Colleague. Location: 1 Presidents Choice Circle, Brampton, Ontario, L6Y 5S5 The decision to join a company is a big one. We have opportunities for hard working, energetic and reliable people just like you.             Full time Temporary (Fixed Term) Co-op",3.6,Loblaw Companies Limited,Brampton,10000+ Employees,-1,Company - Public,Vehicle Dealers,Retail,$10+ billion (USD),http://www.loblaw.com/
ML for Natural Language Processing Intern,,"Company Description  The Bosch Research and Technology Center North America with offices in Sunnyvale, California, Pittsburgh, Pennsylvania and Cambridge, Massachusetts is part of the global Bosch Group (www.bosch.com), a company with over 70-billion-euro revenue, 400,000 people worldwide, a very diverse product portfolio, and a history of over 125 years. The Research and Technology Center North America (RTC-NA) is committed to providing technologies and system solutions for various Bosch business fields primarily in the areas of Integrated Human-Machine Intelligence, Robotics, Energy Technologies, Internet Technologies, Circuit Design, Semiconductors and Wireless, and MEMS Advanced Design. The focus of our global research on Integrated Human-Machine Intelligence includes Big Data Visual Analytics, Explainable AI, Audio Analytics, NLP, Conversational AI, Cloud Robotics, Mixed Reality and Smart Wearables, etc. We develop intuitive, interactive, and intelligent solutions to enable inspiring UX for Bosch products and services in application areas such as autonomous driving, car infotainment and driver assistance systems (ADAS), Industry 4.0 and Internet of Things (IoT), security systems, smart home and building solutions, health care, and robotics.",4.1,Bosch Group,Mississauga,10000+ Employees,1886,Company - Private,Miscellaneous Manufacturing,Manufacturing,$10+ billion (USD),http://www.bosch.us/
Computer Vision and Deep Learning Intern,,"Company Description  The Bosch Research and Technology Center North America with offices in Sunnyvale, California, Pittsburgh, Pennsylvania and Cambridge, Massachusetts is part of the global Bosch Group (www.bosch.com), a company with over 70 billion euro revenue, 400,000 people worldwide, a very diverse product portfolio, and a history of over 125 years. The Research and Technology Center North America (RTC-NA) is committed to providing technologies and system solutions for various Bosch business fields primarily in the areas of Integrated Human-Machine Intelligence, Robotics, Energy Technologies, Internet Technologies, Circuit Design, Semiconductors and Wireless, and MEMS Advanced Design. The focus of our global research on Integrated Human-Machine Intelligence includes Big Data Visual Analytics, Explainable AI, Audio Analytics, NLP, Conversational AI, Cloud Robotics, Mixed Reality and Smart Wearables, etc. We develop intuitive, interactive, and intelligent solutions to enable inspiring UX for Bosch products and services in application areas such as autonomous driving, car infotainment and driver assistance systems (ADAS), Industry 4.0 and Internet of Things (IoT), security systems, smart home and building solutions, health care, and robotics.",4.1,Bosch Group,Mississauga,10000+ Employees,1886,Company - Private,Miscellaneous Manufacturing,Manufacturing,$10+ billion (USD),http://www.bosch.us/
"Senior Data Scientist, Prime Video Playback Analytics",$93K - $101K (Glassdoor Est.),"Bachelor's Degree 5+ years of experience with data scripting languages (e.g SQL, Python, R etc.) or statistical/mathematical software (e.g. R, SAS, or Matlab) 4+ years working as a Data Scientist Located in a timezone no more than 3 hours outside of US Pacific time Occasional travel may be required to Seattle for project kick-off or other key collaborations - subject to prevailing travel guidance. Job summary Shape the future of Prime Video Playback Analytics by applying your data science skills to our ocean of playback telemetry to deliver new insights into data quality and performance.  Playback Analytics manages the telemetry from hundreds of device types and millions of Prime Video customers worldwide generating trillions of events. Our data pipelines are amongst the largest in the world of video and our team delivers real-time data and tooling for a diverse group of internal customers.  Our data is used to monitor and improve the quality of playback in real-time, feed anomaly detection systems, support customer troubleshooting and provide a range of automated reports supporting dozens of business units within Prime.  This role will own the creation of new data quality tooling to measure and report on the integrity of our data across hundreds of dimensions and lead the design of solutions that surface automated insights into the data for our customers.  Key job responsibilities A day in the life Gaining a deep understanding of our data you will initially explore, experiment and deliver data science solutions that help quantify and surface actionable data quality issues. Solving our problems requires analysis of the syntax, semantics and sequences of telemetry and experimentation is core to success. For problems where you have identified the path forwards, you will be writing the critical path code that powers the end to end solution in collaboration with software development engineers as needed. Your contributions will shape the next generation of our data insights solutions which you will lead in collaboration with our senior engineers.  About the team Playback Analytics comprises multiple teams that own the data platform, the streaming metrics computation engine, a range of published datasets consumed by diverse business units and the customer facing tooling for accessing petabytes of data in a readily consumable format. We support a range of customers such as playback engineers looking at diagnostic telemetry, partner teams working on algorithms for improving playback performance and operators monitoring live international sports events. We have recently completed a ground up re-architecture of our telemetry systems which sets the foundation for the new insights we can deliver as we move up the information pyramid.  Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status. If you would like to request an accommodation, please notify your Recruiter.",3.8,Amazon Dev Centre Canada ULC,Toronto,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.amazon.jobs/
Senior Data Scientist (Natural Language Processing),$90K - $115K (Glassdoor Est.),"Senior Data Scientist (Natural Language Processing) Slate Technologies is a Silicon Valley technology startup, bringing fresh minds and tools to the world of Smart Buildings, Smart Infrastructure, Sustainability, architecture and construction. With a credible team from world renowned institutions, we are leading the way in transforming the way buildings and Infrastructure comes to life. Position Summary Exciting career opportunity in a Worldwide Engineering Organization, in designing and implementing a new generation of products and solutions that are transformational in nature. In this position, you will play a key role in designing and building a state-of-the-art AI system to modernize the Smart Buildings and Infrastructure space. Unique opportunity to work with some of the brightest minds in this space and create AI solutions from ground up.",,Slate Technologies,Toronto,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,http://www.slate.ai/
"Software Developer, Machine Learning Ops",$70K - $101K (Glassdoor Est.),"Who we are:  Geotab ® is a global leader in IoT and connected transportation and certified “Great Place to Work™.” We are a company of diverse and talented individuals who work together to help businesses grow and succeed, and increase the safety and sustainability of our communities.  Geotab is advancing security, connecting commercial vehicles to the internet and providing web-based analytics to help customers better manage their fleets. Geotab’s open platform and Geotab Marketplace ®, offering hundreds of third-party solution options, allows both small and large businesses to automate operations by integrating vehicle data with their other data assets. Processing billions of data points a day, Geotab leverages data analytics and machine learning to improve productivity, optimize fleets through the reduction of fuel consumption, enhance driver safety and achieve strong compliance to regulatory changes.  Our team is growing and we’re looking for people who follow their passion, think differently and want to make an impact. Ours is a fast paced, ever changing environment. Geotabbers accept that challenge and are willing to take on new tasks and activities - ones that may not always be described in the initial job description. Join us for a fulfilling career with opportunities to innovate, great benefits, and our fun and inclusive work culture. Reach your full potential with Geotab. To see what it’s like to be a Geotabber, check out our blog and follow us @InsideGeotab on Instagram, Twitter or Facebook. Join our talent network to learn more about job opportunities and company news.",4.2,Geotab,Oakville,201 to 500 Employees,2000,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),http://www.geotab.com/
"Software Developer, Machine Learning and Computer Vision",$60K - $101K (Glassdoor Est.),"You have a passion for solving complex problems, and are pumped at the idea of working on products used by millions of people. You are constantly learning, and are keen to explore the full potential of cutting-edge technology in order to optimize its impact. You enjoy being challenged, and challenging others on your team, as you collectively raise the bar. And us? We are well funded and growing exponentially. In 2021, we won Deloitte's Fast 50 in Canada and Fast 500 in North America awards, recognizing us as one of the fastest-growing companies on the continent - and we're just getting started. We are building the world's most advanced tools for e-commerce and interior decor. Our customers include Fortune 500 companies such as Home Depot, local retailers such as Alexanian's, and leading brands such as Crate&Barrel. We are looking for zealous and collaborative challenge-seekers to amplify our momentum and help us create an iconic global tech company. What You'll Do",4.6,Leap Tools,Toronto,1 to 50 Employees,2009,Company - Private,-1,-1,Unknown / Non-Applicable,http://www.leaptools.com/
"Data Science Intern - Summer 2022 (Remote, US&Canada)",,"Shopify is a leading global commerce company, providing trusted tools to start, grow, market, and manage a retail business of any size. Shopify makes commerce better for everyone with a platform and services that are engineered for reliability, while delivering a better shopping experience for consumers everywhere. Shopify powers millions of businesses in more than 175 countries and is trusted by brands such as Allbirds, Gymshark, PepsiCo, Staples, and many more. Shopify is now permanently remote, and we’re working towards a future that is digital by design. That location you see above? Consider it merely an example of hundreds of potential locations across Canada and the United States where Shopify is hiring. Learn more here: https://www.shopify.com/careers/work-anywhere  If you are applying from outside the Shopify careers page, please apply through our careers page (https://internships.shopify.com/) to ensure you are completing all application components.",4.3,Shopify,Toronto,5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),http://www.shopify.com/
"Machine Learning Scientist, Applied Computer Vision",,"Recursion is a clinical-stage biotechnology company decoding biology by integrating technological innovations across biology, chemistry, automation, data science and engineering to radically improve the lives of patients and industrialize drug discovery. Our team is working to solve some of the hardest, most meaningful problems facing human health today. Come join us in our mission to decode biology to radically improve lives, while doing the most impactful work of your life. The Impact You'll Make Recursion has built a unique dataset (over 1 million unique biological perturbations profiled in a high-dimensional biological assay, making up nearly 9 PB of highly-relatable data) and a unique approach to phenotypic drug discovery using our inference-based Recursion Map to predict tens of billions of relationships between disease models and therapeutic candidates. The Machine Learning Scientist, Applied Computer Vision position offers a unique opportunity to use these data and cutting edge machine learning techniques to create meaningful representations of biology that will be used to find therapeutics that positively impact patients lives.",,Recursion,Toronto,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,http://www.recursionco.com/
Senior Data Analyst-Remote,$71K - $93K (Glassdoor Est.),"The Data and Analytics team is a nimble and highly impactful team that provides critical guidance, insights, and strategic frameworks to the senior leaders responsible for our various functions and business units. As an integral part of the team, the Senior Data Analyst will help us extract meaning from large volumes of data necessary to make informed business decisions. The Senior Data Analyst will be instrumental in setting the team vision, strategy and roadmap and work alongside stakeholders in the organization to make this happen. The Senior Data Analyst works with business intelligence tools, can model multidimensional datasets, and partners with business leaders to answer key business questions. They are responsible for requirements gathering, report design/authoring, ad-hoc analysis, quality assurance and documenting artifacts related to the report development lifecycle. The Senior Data Analyst utilizes strong business and technical knowledge to ensure the highest level of service and efficiency for the customer. This role may provide leadership and supervisory oversight to others.",3.7,Pearson,Toronto,10000+ Employees,1844,Company - Public,Publishing,Media,$5 to $10 billion (USD),http://plc.pearson.com/
"Lead Data Scientist, Search and Personalization (14498) - Toronto (Remote)",$77K - $135K (Glassdoor Est.),"Notice: Several false job solicitations are circulating via email and social media purporting to be official Getty Images communications. While our staff may initially contact you via social media if your experience is relevant to a posted role, we will never issue job offers or request personal financial information via social media. Further, all outreach will include the Getty Images’ employee email and phone contact. As a reminder, all career opportunities can be found here.  Covid-19 Company Statement: Getty Images does not require employees to be vaccinated against Covid-19, but vaccination or testing may be mandated by the relevant local laws with which Getty Images will comply. If this position involves contact with third parties, attendance on site for events, travel and/or work in our offices, those actions will be subject to any to relevant local laws, venue or customer requirements, or travel requirements regarding vaccines or testing (and exemptions thereto).",4.0,Getty Images,Toronto,1001 to 5000 Employees,1995,Company - Private,Photography,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,http://www.gettyimages.com/
